Name,Domain,Industry,Created Date
Big Billy's Burger Joint,bigbillysburgerjoint.com,RESTAURANTS,2017-03-06T15:02:26.521Z
Hannibal's Soul Kitchen,Www.hannibalkitchen.com,RESTAURANTS,2017-03-06T15:11:33.288Z
J Fleming’s Absolutely Delicious,http://willbeyourchef.com/,RESTAURANTS,2016-05-10T16:44:25.396Z
Maple N Jams,http://www.maplenjams.com/,RESTAURANTS,2016-05-10T16:44:31.745Z
Ignite,http://www.ignitecarlsbad.com,RESTAURANTS,2016-05-10T16:44:32.166Z
Vinz Wine Bar,http://www.vinzwinebar.net,WINE_AND_SPIRITS,2016-05-10T16:44:36.509Z
Isabelle Briens French Pastry Cafe,https://ibcafe.com/,FOOD_BEVERAGES,2016-05-10T16:44:36.781Z
Pete's Seafood and Sandwich,http://www.bostonpetes.com/,RESTAURANTS,2016-05-10T16:44:36.933Z
Mandarin House,http://mandarinhouselj.com/,RESTAURANTS,2016-05-10T16:44:39.094Z
Piazza 1909,http://www.Piazza1909.com,RESTAURANTS,2016-05-10T16:44:39.909Z
El Mekkah Bar & Grill,http://www.elmekkahbarandgrill.com,,2016-05-10T16:44:51.679Z
4th Down,4thdownsportsbar.com,RESTAURANTS,2016-05-26T13:28:11.765Z
Camino,mke.caminomke.com,RESTAURANTS,2016-05-26T13:28:41.862Z
Cafe Hue,sdcafehue.com,RESTAURANTS,2016-05-26T14:52:45.490Z
Sabbatic,www.sabbaticmke.com,TRANSPORTATION_TRUCKING_RAILROAD,2016-06-03T10:26:44.242Z
The Belmont Tavern,,RESTAURANTS,2016-06-03T10:31:28.011Z
O'Lydia's Bar and Grill,www.olydias.com,RESTAURANTS,2016-06-03T10:33:13.615Z
Barfly,barflyny.com,RESTAURANTS,2016-06-03T10:35:04.903Z
The Press Box,http://www.thepressboxnyc.com/,RESTAURANTS,2016-06-03T10:35:21.030Z
Harlem BBQ,http://www.harlembarbq.com/,RESTAURANTS,2016-06-03T10:39:24.788Z
Space Billiards,http://spacebilliards.com/,LEISURE_TRAVEL_TOURISM,2016-06-03T10:39:35.554Z
The Pasta Tree Restaurant & Wine Bar,pastatreemilwaukee.com,RESTAURANTS,2016-06-03T10:40:08.359Z
Cork 'n Fork,www.corknforknyc.com,RESTAURANTS,2016-06-03T10:39:59.222Z
Rumours Irish Pub & Restaurant,rumoursbar.com,RESTAURANTS,2016-06-03T10:40:05.943Z
Miti Miti Global Cuisine,http://MitiMitiNYC.com,RESTAURANTS,2016-06-03T10:41:57.993Z
Carma Asian Tapas,http://www.carmanyc.com/,RESTAURANTS,2016-06-03T10:43:19.401Z
Bogota Latin Bistro,http://BogotaBistro.com,RESTAURANTS,2016-06-03T10:43:56.674Z
Viva Toro,vivatoro.com,RESTAURANTS,2016-06-03T11:04:38.563Z
The Warehouse Bar & Pizzeria Chicago,http://www.thewarehousechicago.com/,RESTAURANTS,2016-06-03T11:16:10.041Z
The Maze,www.themaze32.com,,2016-06-03T11:19:01.384Z
District,www.districtmke.com,,2016-06-06T21:04:42.435Z
The Coffee Shop @ Grove Square,thecoffeeshopjc.com,,2016-06-10T16:45:51.406Z
The Wine & Whiskey Bar @ Grove Square,wineandwhiskeybarjc.com,,2016-06-10T16:49:32.026Z
Jack's Cafe,http://www.jackscafecharleston.com/,RESTAURANTS,2016-05-16T10:40:21.734Z
Phebe's,phebesnyc.com,RESTAURANTS,2016-05-26T13:02:58.822Z
Vera Cruz,http://www.veracruzbk.com,,2016-05-26T13:30:36.034Z
Harlem BBQ Global,harlembarbq.com,RESTAURANTS,2016-05-26T13:53:01.050Z
Fulton Five,http://www.fultonfive.com/,RESTAURANTS,2016-05-26T14:53:29.049Z
Candlelite Chicago,candlelitechicago.com,RESTAURANTS,2016-05-10T16:44:25.505Z
The Irish Legend,theirishlegend.com,RESTAURANTS,2016-05-10T16:44:27.161Z
Maggie's Café (Serra Mesa),http://www.maggiescafe2014.com,FOOD_BEVERAGES,2016-05-10T16:44:35.105Z
Jack Rabbit Slims,Www.jackrabbitslimsmke.com,COMPUTER_SOFTWARE,2016-06-03T10:02:59.452Z
2A Bar (Website),http://2abar.com/,RESTAURANTS,2016-06-03T10:04:44.849Z
Victor's Nightclub,victors-nightclub.com,,2016-06-03T10:34:20.907Z
Greenpoint Beer and Ale Company,greenpointbeer.com,RESTAURANTS,2016-06-03T10:34:38.176Z
Keg No. 229,keg229.com,RESTAURANTS,2016-06-03T10:35:46.589Z
Stillwater Bar & Grill,www.stillwaterbar.com,LEISURE_TRAVEL_TOURISM,2016-06-03T10:36:19.637Z
Caffrey's Pub,http://www.caffreyspub.com/,RESTAURANTS,2016-06-03T10:37:20.597Z
Murphy's Irish Pub,murphysirishpub.net,RESTAURANTS,2016-06-03T10:37:21.023Z
Mominette,http://mominette.com/,RESTAURANTS,2016-06-03T10:39:05.135Z
Casa del Chef,casadelchefny.com,RESTAURANTS,2016-06-03T10:42:50.033Z
Kalamaki NYC,http://www.kalamakigr.com,RESTAURANTS,2016-06-03T10:42:55.385Z
Lions Beer Store,http://www.lionsbeerstore.com/,RESTAURANTS,2016-06-03T10:43:36.019Z
Villa Cemita,Www.villacemita.com,RESTAURANTS,2016-06-03T10:44:17.271Z
Butcher & The Burger,http://butcherandtheburger.com/,RESTAURANTS,2016-06-03T10:46:42.386Z
Yellow Rose,http://www.yellowrosenyc.com,RESTAURANTS,2016-06-03T10:46:53.625Z
Lotus Cafe & Bánh Mì Sandwiches,www.lotusbanhmi.com,RESTAURANTS,2016-06-03T10:46:42.094Z
Rooftop 93 Bar & Lounge,uknowndomain22.com,,2016-06-03T10:49:21.179Z
Drink Wisconsinbly Pub,www.DrinkWi.pub,APPAREL_FASHION,2016-06-03T10:51:31.430Z
Benjamin Restaurant & Bar,http://benjaminny.com/index.html,RESTAURANTS,2016-06-03T11:02:06.560Z
Matts Grill,http://www.mattsgrill.com/,FOOD_BEVERAGES,2016-06-03T11:12:33.113Z
Amsterdam Tavern,http://amsterdamtavernnyc.com,LEISURE_TRAVEL_TOURISM,2016-06-03T11:13:06.526Z
Inwood Bar And Grill,https://inwoodbarandgrill.com,RESTAURANTS,2016-06-03T11:15:11.998Z
