Company ID,Company Name,Note ID,Created Date,Note Body
143672321,Carma Asian Tapas,20068459399,2022-03-14 17:45:16,<p>PERMANENTLY CLOSED</p>
162916763,Kalamaki NYC,59307180417,2024-08-30 19:22:01,"<div style="""" dir=""auto"" data-top-level=""true""><p style=""margin:0;"">From <span style=""color: rgb(51, 71, 91);""><span style=""font-size: 14px;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: &quot;Lexend Deca&quot;, Helvetica, Arial, sans-serif;"">Angelina Obucina</span></span></span></span></p><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: small;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">Hi everyone,</span></span></span></span></p><ul><li style=""font-size: 11pt;color: rgb(34, 34, 34);font-family: Arial, Helvetica, sans-serif;background-color: rgb(255, 255, 255);""><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">Restaurant Name: Kalamaki NYC</span></span></span></span></p></li></ul><br><ul><li><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">HubSpot Link: </span></span></span></span><a href=""https://app.hubspot.com/contacts/587184/record/0-2/162916763"" target=""_blank""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">https://app.hubspot.com/contacts/587184/record/0-2/162916763</span></span></span></a></p></li></ul><br><ul><li style=""font-size: 11pt;color: rgb(34, 34, 34);font-family: Arial, Helvetica, sans-serif;background-color: rgb(255, 255, 255);""><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">Close Date: 08/04/2016</span></span></span></span></p></li></ul><br><ul><li style=""font-size: 11pt;color: rgb(34, 34, 34);font-family: Arial, Helvetica, sans-serif;background-color: rgb(255, 255, 255);""><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">Main Point of Contact: Aris Konstantinidis</span></span></span></span></p></li></ul><br><ul><li><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">Best Phone Number </span></span></span></span><strong><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">AND</span></span></span></span></strong><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;""> Email: </span></span></span></span><a title=""Call with Dialpad"" target=""_blank""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">+1 7189391616</span></span></span></a><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">, </span></span></span><a href=""mailto:info@kalamakigr.com"" target=""_blank""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">info@kalamakigr.com</span></span></span></a></p></li></ul><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 14.6667px;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></span></span></span></p><ul><li style=""font-size: 11pt;color: rgb(34, 34, 34);font-family: Arial, Helvetica, sans-serif;background-color: rgb(255, 255, 255);""><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">Reason for Cancellation Request: Kalamaki restaurant is permanently closed. To quote the customer:</span></span></span></span></p></li></ul><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 14.6667px;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></span></span></span></p><blockquote><p style=""margin:0;""><span style=""color: rgb(51, 71, 91);""><span style=""font-size: 14px;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: &quot;Lexend Deca&quot;, Helvetica, Arial, sans-serif;"">There’s a new owner of Kalamaki which will be renamed. I will pass your info to them. </span></span></span></span><span style=""background-color: rgb(255, 255, 255);""> &nbsp;</span><span style=""font-size: 14.6667px;""><span style=""background-color: rgb(255, 255, 255);""><br></span></span></p></blockquote><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 14.6667px;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;""><br></span></span></span></span></p><ul><li><p style=""margin:0;""><span style=""color: rgb(34, 34, 34);""><span style=""font-size: 11pt;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: Arial, Helvetica, sans-serif;"">Has LT reached out before? If so which rep: / <br></span></span></span></span></p></li></ul><p style=""margin:0;""><span style=""color: rgb(51, 71, 91);""><span style=""font-size: 14px;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: &quot;Lexend Deca&quot;, Helvetica, Arial, sans-serif;"">Kind regards,</span></span></span></span></p><p style=""margin:0;""><span style=""color: rgb(51, 71, 91);""><span style=""font-size: 14px;""><span style=""background-color: rgb(255, 255, 255);""><span style=""font-family: &quot;Lexend Deca&quot;, Helvetica, Arial, sans-serif;"">Angelina Obucina</span></span></span></span></p></div>"
162917508,Yellow Rose,11281627632,2021-02-24 23:25:19,<p>PERMANENTLY CLOSED</p>
168991449,Romagna Ready 2 Go,20069808278,2022-03-14 18:22:28,<p>PERMANENTLY CLOSED</p>
174575317,Botanic Lab,11104499561,2021-02-15 16:53:49,<p>Permanently Closed</p>
195682811,Magnolia Tap & Kitchen,732319746,2018-02-14 13:42:47,<p>Permanently closed</p>
197251451,SideBAR,11155913424,2021-02-17 20:40:10,"<p>Owners: Michael Sinensky</p><p>Hours: M-F, 12:00-12:00 AM</p><p></p><p>Sister Restaurants: </p><p>Vintage Irving: European tapas, permanently closed</p><p>Dino&#x27;s: Italian?, Permanently Closed</p><p>Hudson Terrace: Night club, probably not a good fit</p><p>Village Pourhouse: Permanently Closed</p>"
197251786,Amy's Cafe,20745118801,2022-04-07 20:08:28,"<div style=""white-space: pre-wrap;""><p style=""margin-bottom:0;"">Permanently closed </p></div>"
197258821,Open Door Gastropub,822476585,2018-03-28 14:32:29,<p>Permanently closed</p>
197273421,The Cannery,706872234,2018-01-31 19:42:49,<p>Permanently closed</p>
197276321,Live Bait,883547143,2018-04-25 13:11:14,<p>Permanently closed</p>
197278916,CajunSea & Oyster Bar,10862298988,2021-02-01 21:47:03,<p>Google says &quot;Permanently Closed&quot;</p>
197282466,Upper East Café,796697914,2018-03-16 13:05:39,<p>Permanently closed</p>
197291006,The Redhead,919465407,2018-05-08 14:33:30,<p>Permanently closed</p>
197298241,Pagani,10897143813,2021-02-03 16:29:40,<p>Permanently Closed</p>
197298491,Bice San Diego,689275757,2018-01-24 00:49:59,<p>Permanently Closed</p>
197306101,Zazou,2181674792,2019-04-18 23:31:40,<p>permanently closed</p>
197423026,Howl At the Moon,703928828,2018-01-30 20:20:01,<p>Permanently Closed</p>
200010886,Almadira,744230438,2018-02-20 15:37:49,<p>Permanently closed</p>
202212381,Lincoln Park Grill,1562515063,2019-01-03 21:55:16,<p>PERMANENTLY CLOSED</p>
202244326,Jackson Tavern,7539451293,2020-06-18 22:07:15,"<p>PERMANENTLY CLOSED </p><p>part of Tavern Collective</p><p>All of her restaurants in Hub: <a href=""https://app.hubspot.com/contacts/587184/contacts/list/view/all/?query=rachel%20Dennis"" target=""_self"">https://app.hubspot.com/contacts/587184/contacts/list/view/all/?query=rachel%20Dennis</a></p><p>this place might be closed???</p><p>locations:</p><p>-primebar, in hub</p><p>-Randolph Tavern, in hub</p><p>-City Social, in hub</p><p>-Madison Tavern, in hub</p><p>-Lake St. Kitchen and Bar, in hub</p>"
206729691,Mystic Sports Pub,812504836,2018-03-23 13:10:47,<p>Permanently closed</p>
215357737,Bank of Venice,2569647808,2019-06-14 21:47:23,<p>Permanently closed </p>
215716987,Revel Bar Chicago,22767410038,2022-06-17 18:48:40,<p>Permanently closed </p>
218476242,Thunder Jackson's,11272993553,2021-02-24 17:56:45,<p>Permanently Closed</p>
218476592,The Icon,20745117790,2022-04-07 20:08:04,"<div style=""white-space: pre-wrap;""><p style=""margin-bottom:0;"">Permanently closed </p></div>"
